"Year","msfd","sst","sst1","sst2","Atlantic","Boreal","Lusitanian","Unknown","ratio"
1999,"Baltic",1.2057399371018,0.344550748666128,0.788719500104586,0,16,7,3,0.4375
2000,"Baltic",1.27589158713818,1.2057399371018,0.344550748666128,0,18,7,1,0.388888888888889
2001,"Baltic",1.17061102266113,1.27589158713818,1.2057399371018,1,19,13,3,0.684210526315789
2002,"Baltic",1.33577534804742,1.17061102266113,1.27589158713818,1,19,12,3,0.631578947368421
2003,"Baltic",0.647992107396325,1.33577534804742,1.17061102266113,2,17,9,3,0.529411764705882
2004,"Baltic",0.788467934044699,0.647992107396325,1.33577534804742,0,17,16,3,0.941176470588235
2005,"Baltic",1.31380107502143,0.788467934044699,0.647992107396325,2,16,12,3,0.75
2006,"Baltic",1.5336110573262,1.31380107502143,0.788467934044699,1,19,14,4,0.736842105263158
2007,"Baltic",1.39307532583674,1.5336110573262,1.31380107502143,2,20,17,2,0.85
2008,"Baltic",1.79570295910041,1.39307532583674,1.5336110573262,0,20,14,4,0.7
2009,"Baltic",1.04904808228215,1.79570295910041,1.39307532583674,0,15,13,5,0.866666666666667
2010,"Baltic",0.362245035668214,1.04904808228215,1.79570295910041,0,17,14,6,0.823529411764706
2011,"Baltic",0.542870913942655,0.362245035668214,1.04904808228215,1,18,16,3,0.888888888888889
2012,"Baltic",0.979033052921295,0.542870913942655,0.362245035668214,0,20,11,6,0.55
2013,"Baltic",1.38440774877866,0.979033052921295,0.542870913942655,0,22,15,5,0.681818181818182
2014,"Baltic",1.90734914938609,1.38440774877866,0.979033052921295,0,22,22,6,1
2015,"Baltic",1.84940561155478,1.90734914938609,1.38440774877866,1,20,15,7,0.75
2016,"Baltic",2.11014488339424,1.84940561155478,1.90734914938609,0,20,16,5,0.8
2017,"Baltic",1.18828585247199,2.11014488339424,1.84940561155478,1,21,19,9,0.904761904761905
2018,"Baltic",2.11586425515513,1.18828585247199,2.11014488339424,1,22,15,7,0.681818181818182
2019,"Baltic",1.72792522112528,2.11586425515513,1.18828585247199,1,22,17,11,0.772727272727273
2020,"Baltic",2.36089405417442,1.72792522112528,2.11586425515513,1,22,18,7,0.818181818181818
1997,"Bay of Biscay and the Iberian Coast",0.9063019232514,0.413213405525312,0.787699583762636,6,14,57,17,4.07142857142857
1998,"Bay of Biscay and the Iberian Coast",0.831906182303404,0.9063019232514,0.413213405525312,4,13,58,15,4.46153846153846
1999,"Bay of Biscay and the Iberian Coast",0.727980135163913,0.831906182303404,0.9063019232514,8,10,58,19,5.8
2000,"Bay of Biscay and the Iberian Coast",0.402359715042015,0.727980135163913,0.831906182303404,8,12,53,12,4.41666666666667
2001,"Bay of Biscay and the Iberian Coast",0.687390620975445,0.402359715042015,0.727980135163913,12,13,69,45,5.30769230769231
2002,"Bay of Biscay and the Iberian Coast",0.511454679848005,0.687390620975445,0.402359715042015,11,12,73,59,6.08333333333333
2003,"Bay of Biscay and the Iberian Coast",0.928463865770027,0.511454679848005,0.687390620975445,11,12,64,39,5.33333333333333
2004,"Bay of Biscay and the Iberian Coast",0.731647731736302,0.928463865770027,0.511454679848005,10,12,67,43,5.58333333333333
2005,"Bay of Biscay and the Iberian Coast",0.731169403064996,0.731647731736302,0.928463865770027,14,14,71,66,5.07142857142857
2006,"Bay of Biscay and the Iberian Coast",0.938012832116025,0.731169403064996,0.731647731736302,16,12,71,68,5.91666666666667
2007,"Bay of Biscay and the Iberian Coast",0.749721980808924,0.938012832116025,0.731169403064996,14,13,74,68,5.69230769230769
2008,"Bay of Biscay and the Iberian Coast",0.622397234158901,0.749721980808924,0.938012832116025,13,13,71,67,5.46153846153846
2009,"Bay of Biscay and the Iberian Coast",0.562608041878169,0.622397234158901,0.749721980808924,12,13,72,62,5.53846153846154
2010,"Bay of Biscay and the Iberian Coast",0.504950370794783,0.562608041878169,0.622397234158901,15,14,70,62,5
2011,"Bay of Biscay and the Iberian Coast",0.81018899284148,0.504950370794783,0.562608041878169,14,14,72,74,5.14285714285714
2012,"Bay of Biscay and the Iberian Coast",0.715592165167133,0.81018899284148,0.504950370794783,13,9,65,49,7.22222222222222
2013,"Bay of Biscay and the Iberian Coast",0.455063423917939,0.715592165167133,0.81018899284148,16,18,78,72,4.33333333333333
2014,"Bay of Biscay and the Iberian Coast",1.00995469349436,0.455063423917939,0.715592165167133,15,16,69,69,4.3125
2015,"Bay of Biscay and the Iberian Coast",0.713559118177121,1.00995469349436,0.455063423917939,15,17,68,69,4
2016,"Bay of Biscay and the Iberian Coast",0.781950353644788,0.713559118177121,1.00995469349436,16,13,69,63,5.30769230769231
2017,"Bay of Biscay and the Iberian Coast",0.984983511579533,0.781950353644788,0.713559118177121,16,10,69,64,6.9
2018,"Bay of Biscay and the Iberian Coast",0.543084970520188,0.984983511579533,0.781950353644788,15,15,69,61,4.6
2019,"Bay of Biscay and the Iberian Coast",0.685379514548307,0.543084970520188,0.984983511579533,10,12,69,25,5.75
2020,"Bay of Biscay and the Iberian Coast",0.8488097358495,0.685379514548307,0.543084970520188,11,12,59,25,4.91666666666667
1971,"Celtic Seas",0.320716628494362,-0.118358455650094,0.123920729487307,0,6,9,2,1.5
1972,"Celtic Seas",-0.223954894062546,0.320716628494362,-0.118358455650094,1,12,10,1,0.833333333333333
1973,"Celtic Seas",-0.0374846059001154,-0.223954894062546,0.320716628494362,0,12,11,3,0.916666666666667
1977,"Celtic Seas",-0.172734199919634,0.188542721844796,0.0934886259233786,0,11,11,2,1
1978,"Celtic Seas",-0.105935487378803,-0.172734199919634,0.188542721844796,1,7,5,0,0.714285714285714
1979,"Celtic Seas",-0.320682672731992,-0.105935487378803,-0.172734199919634,1,16,10,2,0.625
1980,"Celtic Seas",0.0973203395131148,-0.320682672731992,-0.105935487378803,3,21,17,4,0.80952380952381
1982,"Celtic Seas",0.207365248248809,0.0620331779743234,0.0973203395131148,2,19,13,2,0.684210526315789
1983,"Celtic Seas",0.0124723632923431,0.207365248248809,0.0620331779743234,2,23,15,2,0.652173913043478
1984,"Celtic Seas",0.262030027910239,0.0124723632923431,0.207365248248809,3,21,21,2,1
1985,"Celtic Seas",-0.101177944543047,0.262030027910239,0.0124723632923431,7,29,29,12,1
1986,"Celtic Seas",-0.377467987645004,-0.101177944543047,0.262030027910239,4,27,30,6,1.11111111111111
1987,"Celtic Seas",0.0105986111383471,-0.377467987645004,-0.101177944543047,3,28,30,3,1.07142857142857
1988,"Celtic Seas",-0.00687209203735821,0.0105986111383471,-0.377467987645004,3,28,29,5,1.03571428571429
1989,"Celtic Seas",0.325655661264641,-0.00687209203735821,0.0105986111383471,4,27,30,2,1.11111111111111
1990,"Celtic Seas",0.353878087001956,0.325655661264641,-0.00687209203735821,3,27,30,4,1.11111111111111
1991,"Celtic Seas",0.0866936641201998,0.353878087001956,0.325655661264641,4,28,31,7,1.10714285714286
1992,"Celtic Seas",-0.0440693670469854,0.0866936641201998,0.353878087001956,4,29,31,6,1.06896551724138
1993,"Celtic Seas",-0.0736741635741459,-0.0440693670469854,0.0866936641201998,5,28,34,4,1.21428571428571
1994,"Celtic Seas",-0.107786718393779,-0.0736741635741459,-0.0440693670469854,5,26,35,3,1.34615384615385
1995,"Celtic Seas",0.443516239006486,-0.107786718393779,-0.0736741635741459,5,22,27,4,1.22727272727273
1996,"Celtic Seas",0.216414760073854,0.443516239006486,-0.107786718393779,4,28,35,6,1.25
1997,"Celtic Seas",0.716899363220566,0.216414760073854,0.443516239006486,6,26,43,5,1.65384615384615
1998,"Celtic Seas",0.517265243041847,0.716899363220566,0.216414760073854,8,30,46,8,1.53333333333333
1999,"Celtic Seas",0.431518539579378,0.517265243041847,0.716899363220566,8,29,47,14,1.62068965517241
2000,"Celtic Seas",0.302042614461647,0.431518539579378,0.517265243041847,5,29,44,7,1.51724137931034
2001,"Celtic Seas",0.624339293792016,0.302042614461647,0.431518539579378,16,36,50,26,1.38888888888889
2002,"Celtic Seas",0.672432627114985,0.624339293792016,0.302042614461647,16,36,48,31,1.33333333333333
2003,"Celtic Seas",0.914017627636592,0.672432627114985,0.624339293792016,13,33,51,29,1.54545454545455
2004,"Celtic Seas",0.690395911948548,0.914017627636592,0.672432627114985,14,30,48,32,1.6
2005,"Celtic Seas",0.719489256540934,0.690395911948548,0.914017627636592,15,34,55,30,1.61764705882353
2006,"Celtic Seas",0.787619760673907,0.719489256540934,0.690395911948548,19,33,58,33,1.75757575757576
2007,"Celtic Seas",0.916677796178394,0.787619760673907,0.719489256540934,19,32,56,36,1.75
2008,"Celtic Seas",0.76543480111286,0.916677796178394,0.787619760673907,19,29,56,38,1.93103448275862
2009,"Celtic Seas",0.752374483272433,0.76543480111286,0.916677796178394,18,31,59,43,1.90322580645161
2010,"Celtic Seas",0.75564045790169,0.752374483272433,0.76543480111286,18,32,60,38,1.875
2011,"Celtic Seas",0.419166019496818,0.75564045790169,0.752374483272433,17,34,59,41,1.73529411764706
2012,"Celtic Seas",0.412885869025356,0.419166019496818,0.75564045790169,17,31,58,46,1.87096774193548
2013,"Celtic Seas",0.524858688521716,0.412885869025356,0.419166019496818,14,33,57,38,1.72727272727273
2014,"Celtic Seas",0.798524778646727,0.524858688521716,0.412885869025356,12,36,58,21,1.61111111111111
2015,"Celtic Seas",0.18165033383088,0.798524778646727,0.524858688521716,15,36,59,44,1.63888888888889
2016,"Celtic Seas",0.575278883282509,0.18165033383088,0.798524778646727,15,30,56,32,1.86666666666667
2017,"Celtic Seas",0.588513393058545,0.575278883282509,0.18165033383088,16,25,45,30,1.8
2018,"Celtic Seas",0.227030411155687,0.588513393058545,0.575278883282509,13,32,56,37,1.75
2019,"Celtic Seas",0.644043683695296,0.227030411155687,0.588513393058545,8,27,59,16,2.18518518518519
2020,"Celtic Seas",0.368135646658225,0.644043683695296,0.227030411155687,10,28,54,12,1.92857142857143
1967,"Greater North Sea, incl. the Kattegat and the English Channel",0.222857520605127,-0.25739840280989,-0.388464622820417,1,14,8,0,0.571428571428571
1968,"Greater North Sea, incl. the Kattegat and the English Channel",0.107124561650885,0.222857520605127,-0.25739840280989,3,16,9,3,0.5625
1970,"Greater North Sea, incl. the Kattegat and the English Channel",-0.390422774064872,-0.0360865498272081,0.107124561650885,1,17,11,1,0.647058823529412
1971,"Greater North Sea, incl. the Kattegat and the English Channel",0.196044497709307,-0.390422774064872,-0.0360865498272081,1,21,16,8,0.761904761904762
1972,"Greater North Sea, incl. the Kattegat and the English Channel",0.107904760373963,0.196044497709307,-0.390422774064872,2,21,21,5,1
1973,"Greater North Sea, incl. the Kattegat and the English Channel",0.379795979294512,0.107904760373963,0.196044497709307,1,17,20,8,1.17647058823529
1974,"Greater North Sea, incl. the Kattegat and the English Channel",0.197110048184792,0.379795979294512,0.107904760373963,0,8,2,0,0.25
1975,"Greater North Sea, incl. the Kattegat and the English Channel",0.507111704824234,0.197110048184792,0.379795979294512,3,21,12,4,0.571428571428571
1976,"Greater North Sea, incl. the Kattegat and the English Channel",0.363114928658534,0.507111704824234,0.197110048184792,3,21,15,6,0.714285714285714
1977,"Greater North Sea, incl. the Kattegat and the English Channel",0.00222069376872645,0.363114928658534,0.507111704824234,1,22,14,4,0.636363636363636
1978,"Greater North Sea, incl. the Kattegat and the English Channel",-0.19214925987439,0.00222069376872645,0.363114928658534,3,24,25,13,1.04166666666667
1979,"Greater North Sea, incl. the Kattegat and the English Channel",-0.759420600409309,-0.19214925987439,0.00222069376872645,3,25,22,8,0.88
1980,"Greater North Sea, incl. the Kattegat and the English Channel",-0.114399532528801,-0.759420600409309,-0.19214925987439,6,30,27,12,0.9
1981,"Greater North Sea, incl. the Kattegat and the English Channel",-0.272734008367277,-0.114399532528801,-0.759420600409309,4,27,24,14,0.888888888888889
1982,"Greater North Sea, incl. the Kattegat and the English Channel",0.150065001824664,-0.272734008367277,-0.114399532528801,6,30,28,14,0.933333333333333
1983,"Greater North Sea, incl. the Kattegat and the English Channel",0.126619043501301,0.150065001824664,-0.272734008367277,4,37,30,8,0.810810810810811
1984,"Greater North Sea, incl. the Kattegat and the English Channel",0.00155129335406754,0.126619043501301,0.150065001824664,6,38,33,13,0.868421052631579
1985,"Greater North Sea, incl. the Kattegat and the English Channel",-0.311262539587915,0.00155129335406754,0.126619043501301,5,36,30,13,0.833333333333333
1986,"Greater North Sea, incl. the Kattegat and the English Channel",-0.592959913321667,-0.311262539587915,0.00155129335406754,6,37,31,15,0.837837837837838
1987,"Greater North Sea, incl. the Kattegat and the English Channel",-0.446588188720246,-0.592959913321667,-0.311262539587915,6,36,29,8,0.805555555555556
1988,"Greater North Sea, incl. the Kattegat and the English Channel",0.472177254243029,-0.446588188720246,-0.592959913321667,5,34,44,11,1.29411764705882
1989,"Greater North Sea, incl. the Kattegat and the English Channel",1.04239797674947,0.472177254243029,-0.446588188720246,5,37,47,14,1.27027027027027
1990,"Greater North Sea, incl. the Kattegat and the English Channel",1.07168920069105,1.04239797674947,0.472177254243029,6,32,46,16,1.4375
1991,"Greater North Sea, incl. the Kattegat and the English Channel",0.359064771793783,1.07168920069105,1.04239797674947,8,40,52,14,1.3
1992,"Greater North Sea, incl. the Kattegat and the English Channel",0.684045026596222,0.359064771793783,1.07168920069105,7,39,46,13,1.17948717948718
1993,"Greater North Sea, incl. the Kattegat and the English Channel",-0.00867670050097837,0.684045026596222,0.359064771793783,6,35,48,11,1.37142857142857
1994,"Greater North Sea, incl. the Kattegat and the English Channel",0.506786313942737,-0.00867670050097837,0.684045026596222,6,37,45,15,1.21621621621622
1995,"Greater North Sea, incl. the Kattegat and the English Channel",0.948741099072827,0.506786313942737,-0.00867670050097837,7,40,50,13,1.25
1996,"Greater North Sea, incl. the Kattegat and the English Channel",-0.297065627864665,0.948741099072827,0.506786313942737,8,39,46,13,1.17948717948718
1997,"Greater North Sea, incl. the Kattegat and the English Channel",0.826948154096802,-0.297065627864665,0.948741099072827,7,40,54,12,1.35
1998,"Greater North Sea, incl. the Kattegat and the English Channel",0.707790707548459,0.826948154096802,-0.297065627864665,7,45,56,15,1.24444444444444
1999,"Greater North Sea, incl. the Kattegat and the English Channel",1.11461175150341,0.707790707548459,0.826948154096802,8,38,54,9,1.42105263157895
2000,"Greater North Sea, incl. the Kattegat and the English Channel",0.813944536985623,1.11461175150341,0.707790707548459,7,42,55,11,1.30952380952381
2001,"Greater North Sea, incl. the Kattegat and the English Channel",0.841707872847716,0.813944536985623,1.11461175150341,8,36,57,13,1.58333333333333
2002,"Greater North Sea, incl. the Kattegat and the English Channel",1.37645976162619,0.841707872847716,0.813944536985623,6,41,53,11,1.29268292682927
2003,"Greater North Sea, incl. the Kattegat and the English Channel",1.27246805963417,1.37645976162619,0.841707872847716,6,40,55,9,1.375
2004,"Greater North Sea, incl. the Kattegat and the English Channel",1.07788445428014,1.27246805963417,1.37645976162619,6,41,57,13,1.39024390243902
2005,"Greater North Sea, incl. the Kattegat and the English Channel",0.985190519649122,1.07788445428014,1.27246805963417,6,44,62,15,1.40909090909091
2006,"Greater North Sea, incl. the Kattegat and the English Channel",1.48714218164484,0.985190519649122,1.07788445428014,8,36,57,13,1.58333333333333
2007,"Greater North Sea, incl. the Kattegat and the English Channel",1.38183897392203,1.48714218164484,0.985190519649122,6,42,60,13,1.42857142857143
2008,"Greater North Sea, incl. the Kattegat and the English Channel",1.2323515539368,1.38183897392203,1.48714218164484,6,40,62,11,1.55
2009,"Greater North Sea, incl. the Kattegat and the English Channel",1.11308436230239,1.2323515539368,1.38183897392203,8,37,58,9,1.56756756756757
2010,"Greater North Sea, incl. the Kattegat and the English Channel",0.291738976517485,1.11308436230239,1.2323515539368,6,39,54,10,1.38461538461538
2011,"Greater North Sea, incl. the Kattegat and the English Channel",0.811056127461294,0.291738976517485,1.11308436230239,8,38,58,10,1.52631578947368
2012,"Greater North Sea, incl. the Kattegat and the English Channel",0.743860505469557,0.811056127461294,0.291738976517485,7,41,59,10,1.4390243902439
2013,"Greater North Sea, incl. the Kattegat and the English Channel",0.370146002827419,0.743860505469557,0.811056127461294,7,44,63,11,1.43181818181818
2014,"Greater North Sea, incl. the Kattegat and the English Channel",1.91701001591153,0.370146002827419,0.743860505469557,8,40,63,11,1.575
2015,"Greater North Sea, incl. the Kattegat and the English Channel",1.00953164779478,1.91701001591153,0.370146002827419,9,41,63,14,1.53658536585366
2016,"Greater North Sea, incl. the Kattegat and the English Channel",1.55479268232981,1.00953164779478,1.91701001591153,7,41,61,13,1.48780487804878
2017,"Greater North Sea, incl. the Kattegat and the English Channel",1.38796150104867,1.55479268232981,1.00953164779478,8,41,63,15,1.53658536585366
2018,"Greater North Sea, incl. the Kattegat and the English Channel",1.27652327302429,1.38796150104867,1.55479268232981,9,42,58,14,1.38095238095238
2019,"Greater North Sea, incl. the Kattegat and the English Channel",1.38252878768577,1.27652327302429,1.38796150104867,8,43,61,15,1.41860465116279
2020,"Greater North Sea, incl. the Kattegat and the English Channel",1.72766638133261,1.38252878768577,1.27652327302429,9,42,63,16,1.5
